DATES,G2P [MMcf],,,
1/6/2019,760.40,,,
1/7/2019,883.41,,,
1/8/2019,794.92,,,
1/9/2019,819.80,,,
1/10/2019,1059.15,,,
1/11/2019,1007.09,,,
1/12/2019,835.03,,,
1/13/2019,838.90,,,
1/14/2019,921.70,,,
1/15/2019,931.18,,,
1/16/2019,939.56,,,
1/17/2019,1003.31,,,
1/18/2019,774.30,,,
1/19/2019,723.48,,,
1/20/2019,627.41,,,
1/21/2019,950.50,,,
1/22/2019,890.57,,,
1/23/2019,676.35,,,
1/24/2019,537.32,,,
1/25/2019,809.93,,,
1/26/2019,734.54,,,
1/27/2019,721.71,,,
1/28/2019,763.43,,,
1/29/2019,655.04,,,
1/30/2019,716.13,,,
1/31/2019,752.19,,,
2/1/2019,833.19,,,
2/2/2019,817.58,,,
2/3/2019,806.61,,,
2/4/2019,806.43,,,
2/5/2019,754.84,,,
2/6/2019,757.09,,,
2/7/2019,778.53,,,
2/8/2019,793.69,,,
2/9/2019,940.29,,,
2/10/2019,1137.15,,,
2/11/2019,1109.69,,,
2/12/2019,964.96,,,
2/13/2019,1027.01,,,
2/14/2019,1061.71,,,
2/15/2019,863.77,,,
2/16/2019,957.90,,,
2/17/2019,1245.53,,,
2/18/2019,1120.94,,,
2/19/2019,1370.63,,,
2/20/2019,1341.89,,,
2/21/2019,1168.21,,,
2/22/2019,1020.66,,,
2/23/2019,979.76,,,
2/24/2019,702.21,,,
2/25/2019,812.92,,,
2/26/2019,843.07,,,
2/27/2019,742.29,,,
2/28/2019,692.47,,,
3/1/2019,704.94,,,
3/2/2019,624.32,,,
3/3/2019,605.97,,,
3/4/2019,664.90,,,
3/5/2019,761.21,,,
3/6/2019,805.10,,,
3/7/2019,865.41,,,
3/8/2019,824.41,,,
3/9/2019,906.57,,,
3/10/2019,715.33,,,
3/11/2019,832.88,,,
3/12/2019,830.99,,,
3/13/2019,931.48,,,
3/14/2019,796.93,,,
3/15/2019,783.64,,,
3/16/2019,699.30,,,
3/17/2019,744.17,,,
3/18/2019,885.91,,,
3/19/2019,1019.36,,,
3/20/2019,1045.35,,,
3/21/2019,859.35,,,
3/22/2019,778.16,,,
3/23/2019,819.41,,,
3/24/2019,785.31,,,
3/25/2019,774.86,,,
3/26/2019,788.02,,,
3/27/2019,914.84,,,
3/28/2019,912.75,,,
3/29/2019,845.75,,,
3/30/2019,767.19,,,
3/31/2019,779.18,,,
4/1/2019,862.34,,,
4/2/2019,1076.90,,,
4/3/2019,769.02,,,
4/4/2019,783.23,,,
4/5/2019,733.58,,,
4/6/2019,752.93,,,
4/7/2019,639.55,,,
4/8/2019,888.62,,,
4/9/2019,921.71,,,
4/10/2019,768.23,,,
4/11/2019,753.80,,,
4/12/2019,687.70,,,
4/13/2019,481.13,,,
4/14/2019,311.17,,,
4/15/2019,324.75,,,
4/16/2019,346.95,,,
4/17/2019,360.57,,,
4/18/2019,408.67,,,
4/19/2019,466.16,,,
4/20/2019,420.63,,,
4/21/2019,444.12,,,
4/22/2019,728.23,,,
4/23/2019,882.19,,,
4/24/2019,878.01,,,
4/25/2019,828.44,,,
4/26/2019,821.30,,,
4/27/2019,623.55,,,
4/28/2019,700.10,,,
4/29/2019,807.11,,,
4/30/2019,859.29,,,
5/1/2019,900.68,,,
5/2/2019,923.90,,,
5/3/2019,973.73,,,
5/4/2019,924.40,,,
5/5/2019,643.80,,,
5/6/2019,717.16,,,
5/7/2019,744.12,,,
5/8/2019,832.03,,,
5/9/2019,744.77,,,
5/10/2019,629.33,,,
5/11/2019,545.35,,,
5/12/2019,507.43,,,
5/13/2019,641.66,,,
5/14/2019,484.32,,,
5/15/2019,473.97,,,
5/16/2019,545.46,,,
5/17/2019,696.97,,,
5/18/2019,796.66,,,
5/19/2019,769.24,,,
5/20/2019,827.18,,,
5/21/2019,664.88,,,
5/22/2019,555.51,,,
5/23/2019,634.38,,,
5/24/2019,802.54,,,
5/25/2019,767.38,,,
5/26/2019,754.24,,,
5/27/2019,800.68,,,
5/28/2019,971.22,,,
5/29/2019,970.93,,,
5/30/2019,985.87,,,
5/31/2019,805.22,,,
6/1/2019,680.14,,,
6/2/2019,693.93,,,
6/3/2019,745.42,,,
6/4/2019,760.46,,,
6/5/2019,849.97,,,
6/6/2019,863.72,,,
6/7/2019,773.95,,,
6/8/2019,718.84,,,
6/9/2019,682.65,,,
6/10/2019,852.42,,,
6/11/2019,766.54,,,
6/12/2019,675.69,,,
6/13/2019,689.37,,,
6/14/2019,592.20,,,
6/15/2019,637.63,,,
6/16/2019,848.46,,,
6/17/2019,1062.15,,,
6/18/2019,1019.64,,,
6/19/2019,1035.06,,,
6/20/2019,1048.16,,,
6/21/2019,891.53,,,
6/22/2019,787.22,,,
6/23/2019,794.91,,,
6/24/2019,1015.30,,,
6/25/2019,924.19,,,
6/26/2019,956.36,,,
6/27/2019,1008.15,,,
6/28/2019,1054.05,,,
6/29/2019,895.37,,,
6/30/2019,926.51,,,
7/1/2019,1052.61,,,
7/2/2019,1097.03,,,
7/3/2019,1068.80,,,
7/4/2019,932.10,,,
7/5/2019,869.13,,,
7/6/2019,877.21,,,
7/7/2019,899.77,,,
7/8/2019,1105.23,,,
7/9/2019,967.29,,,
7/10/2019,1029.90,,,
7/11/2019,992.70,,,
7/12/2019,945.61,,,
7/13/2019,858.36,,,
7/14/2019,873.55,,,
7/15/2019,1081.52,,,
7/16/2019,1134.97,,,
7/17/2019,1145.75,,,
7/18/2019,1146.02,,,
7/19/2019,1105.92,,,
7/20/2019,944.90,,,
7/21/2019,1022.09,,,
7/22/2019,1055.16,,,
7/23/2019,884.04,,,
7/24/2019,843.14,,,
7/25/2019,928.54,,,
7/26/2019,844.00,,,
7/27/2019,817.06,,,
7/28/2019,858.35,,,
7/29/2019,1239.95,,,
7/30/2019,1220.70,,,
7/31/2019,1232.60,,,
8/1/2019,1180.74,,,
8/2/2019,928.04,,,
8/3/2019,931.45,,,
8/4/2019,950.63,,,
8/5/2019,929.74,,,
8/6/2019,1050.76,,,
8/7/2019,1142.16,,,
8/8/2019,1104.30,,,
8/9/2019,1135.11,,,
8/10/2019,988.18,,,
8/11/2019,1010.29,,,
8/12/2019,1153.97,,,
8/13/2019,1158.91,,,
8/14/2019,1105.10,,,
8/15/2019,1071.55,,,
8/16/2019,1094.76,,,
8/17/2019,973.17,,,
8/18/2019,1050.35,,,
8/19/2019,1161.81,,,
8/20/2019,1038.41,,,
8/21/2019,1092.24,,,
8/22/2019,1090.28,,,
8/23/2019,1052.86,,,
8/24/2019,789.45,,,
8/25/2019,551.76,,,
8/26/2019,765.33,,,
8/27/2019,831.76,,,
8/28/2019,931.87,,,
